Boston 24 and Public Journal for Tuesday, April 4, 2023  	Tue, 04 Apr 2023 15:40:22 +0000	https://bpdnews.com/s/district_journal_arrests_public-1-t76b.pdf
Boston 24 and Public Journal for Monday, April 3, 2023 	Mon, 03 Apr 2023 16:28:08 +0000	https://bpdnews.com/s/district_journal_arrests_public-ywc9.pdf
Boston 24 and Public Journal for Sunday, April 2, 2023	Sun, 02 Apr 2023 14:11:21 +0000	https://bpdnews.com/s/April-2-district_journal_arrests_public.pdf
Boston 24 and Public Journal for Saturday, April 1, 2023	Sat, 01 Apr 2023 16:01:46 +0000	https://bpdnews.com/s/April-1st-district_journal_arrests_public.pdf
Boston 24 and Public Journal for Friday, March 31, 2023	Fri, 31 Mar 2023 14:09:56 +0000	https://bpdnews.com/s/March-31-district_journal_arrests_public.pdf
Boston 24 and Public Journal for Thursday, March 30, 2023	Thu, 30 Mar 2023 14:20:31 +0000	https://bpdnews.com/s/March-30th-district_journal_arrests_public.pdf
Boston 24 and Public Journal for Wednesday, March 29, 2023	Thu, 30 Mar 2023 11:39:02 +0000	https://bpdnews.com/s/March-29-district_journal_arrests_public.pdf
Boston 24 and Public Journal for Tuesday, March 28, 2023	Thu, 30 Mar 2023 11:38:17 +0000	https://bpdnews.com/s/March-28-district_journal_arrests_public.pdf
Boston 24 and Public Journal for Monday, March 27, 2023	Tue, 28 Mar 2023 14:26:44 +0000	https://bpdnews.com/s/March-27.pdf
Boston 24 and Public Journal for Sunday, March 26, 2023	Tue, 28 Mar 2023 14:26:34 +0000	https://bpdnews.com/s/district_journal_arrests_public-fe7m.pdf
Boston 24 and Public Journal for Saturday, March 25, 2023  	Tue, 28 Mar 2023 14:26:25 +0000	https://bpdnews.com/s/March-25.pdf
Boston 24 and Public Journal for Friday, March 24, 2023	Tue, 28 Mar 2023 14:25:51 +0000	https://bpdnews.com/s/district_journal_arrests_public-4txr.pdf
Boston 24 and Public Journal for Thursday, March 23, 2023 	Thu, 23 Mar 2023 17:02:38 +0000	https://bpdnews.com/s/March-23.pdf
Boston 24 and Public Journal for Wednesday, March 22, 2023  	Thu, 23 Mar 2023 17:02:34 +0000	https://bpdnews.com/s/March-22.pdf
Boston 24 and Public Journal for Tuesday, March 21, 2023	Tue, 21 Mar 2023 14:08:34 +0000	https://bpdnews.com/s/March-21-district_journal_arrests_public.pdf
Boston 24 and Public Journal for Monday, March 20, 2023	Mon, 20 Mar 2023 14:15:37 +0000	https://bpdnews.com/s/March-20-district_journal_arrests_public.pdf
Boston 24 and Public Journal for Sunday, March 19, 2023	Sun, 19 Mar 2023 14:10:54 +0000	https://bpdnews.com/s/March-19-district_journal_arrests_public.pdf
Boston 24 and Public Journal for Saturday, March 18, 2023	Sat, 18 Mar 2023 14:44:51 +0000	https://bpdnews.com/s/March-18-district_journal_arrests_public-1.pdf
Boston 24 and Public Journal for Friday, March 17, 2023	Sat, 18 Mar 2023 13:34:58 +0000	https://bpdnews.com/s/March-17-district_journal_arrests_public-1.pdf
Boston 24 and Public Journal for Thursday, March 16, 2023	Sat, 18 Mar 2023 13:32:26 +0000	https://bpdnews.com/s/March-16-district_journal_arrests_public.pdf
Boston 24 and Public Journal for Wednesday, March 15, 2023	Wed, 15 Mar 2023 14:10:56 +0000	https://bpdnews.com/s/March-14-district_journal_arrests_public-l684.pdf
Boston 24 and Public Journal for Tuesday, March 14, 2023	Tue, 14 Mar 2023 15:32:19 +0000	https://bpdnews.com/s/March-14-district_journal_arrests_public.pdf
Boston 24 and Public Journal for Monday, March 13, 2023   	Mon, 13 Mar 2023 14:59:30 +0000	https://bpdnews.com/s/district_journal_arrests_public-2-rm6y.pdf	https://bpdnews.com/s/district_journal_arrests_public-1-deb8.pdf
Boston 24 and Public Journal for Sunday, March 12, 2023 	Sun, 12 Mar 2023 19:37:18 +0000	https://bpdnews.com/s/district_journal_arrests_public-1-deb8.pdf
Boston 24 and Public Journal for Saturday, March 11, 2023 	Sat, 11 Mar 2023 19:10:44 +0000	https://bpdnews.com/s/district_journal_arrests_public-c5rl.pdf
Boston 24 and Public Journal for Friday, March 10, 2023	Fri, 10 Mar 2023 17:39:52 +0000	https://bpdnews.com/s/district_journal_arrests_public-3ech.pdf
Boston 24 and Public Journal for Thursday, March 9, 2023	Thu, 09 Mar 2023 15:17:35 +0000	https://bpdnews.com/s/MArch-9-district_journal_arrests_public.pdf
Boston 24 and Public Journal for Wednesday, March 8, 2023	Wed, 08 Mar 2023 15:07:58 +0000	https://bpdnews.com/s/March-8-district_journal_arrests_public.pdf
Boston 24 and Public Journal for Tuesday, March 7, 2023	Tue, 07 Mar 2023 15:29:10 +0000	https://bpdnews.com/s/March-7-district_journal_arrests_public.pdf
